    nSoil_Types           4398
        ID     CLAY[%]     SAND[%]   Bd_mu[gcm-3]       nSamples
         1           1          42          1.467              1
         2           1          43          1.440              2
         3           1          44          1.441              7
         4           1          45          1.444             13
         5           1          46          1.454              4
         6           1          47          1.436              3
         7           1          52          1.522              1
         8           1          54          1.368              1
         9           1          55          1.387             10
        10           1          56          1.402             12
        11           1          57          1.353             31
        12           1          58          1.350             28
        13           1          59          1.375             58
        14           1          60          1.390             57
        15           1          61          1.376             37
        16           1          62          1.344             22
        17           1          63          1.299             15
        18           1          64          1.104              9
        19           1          65          1.320             39
        20           1          66          1.381            255
        21           1          67          1.394            814
        22           1          68          1.376            930
        23           1          69          1.373           1293
        24           1          70          1.372           1513
        25           1          71          1.369           1607
        26           1          72          1.378           1509
        27           1          73          1.383           1086
        28           1          74          1.387           1080
        29           1          75          1.395           1598
        30           1          76          1.400           2229
        31           1          77          1.392           2233
        32           1          78          1.390           2647
        33           1          79          1.387           3061
        34           1          80          1.395           3678
        35           1          81          1.406           4060
        36           1          82          1.422           4141
        37           1          83          1.436           5075
        38           1          84          1.443           9518
        39           1          85          1.447          18754
        40           1          86          1.459          37030
        41           1          87          1.469          68441
        42           1          88          1.477         157625
        43           1          89          1.480         361998
        44           1          90          1.483         742206
        45           1          91          1.491        1319315
        46           1          92          1.500        2155952
        47           1          93          1.505        3950653
        48           1          94          1.505        6757100
        49           1          95          1.508       10736286
        50           1          96          1.517       14476119
        51           1          97          1.528       14833850
        52           1          98          1.537       10486953
        53           1          99          1.545        3321485
        54           1         100          1.544         151554
        55           2          31          0.819              1
        56           2          32          0.912              2
        57           2          33          1.008              1
        58           2          42          1.474              3
        59           2          43          1.458              3
        60           2          44          1.464             11
        61           2          45          1.464             13
        62           2          46          1.453             15
        63           2          47          1.461             22
        64           2          48          1.463             24
        65           2          49          1.458             15
        66           2          50          1.468             17
        67           2          51          1.484             17
        68           2          52          1.460             11
        69           2          53          1.455             12
        70           2          54          1.383             60
        71           2          55          1.401            208
        72           2          56          1.392            271
        73           2          57          1.395            226
        74           2          58          1.349            260
        75           2          59          1.357            296
        76           2          60          1.335            216
        77           2          61          1.232            182
        78           2          62          1.136            201
        79           2          63          1.071            242
        80           2          64          1.128            443
        81           2          65          1.261           1020
        82           2          66          1.334           2341
        83           2          67          1.369           4155
        84           2          68          1.366           5462
        85           2          69          1.364           6948
        86           2          70          1.363           8178
        87           2          71          1.359           8738
        88           2          72          1.361           9481
        89           2          73          1.374          11678
        90           2          74          1.382          13965
        91           2          75          1.386          16324
        92           2          76          1.386          18668
        93           2          77          1.383          22542
        94           2          78          1.382          26940
        95           2          79          1.381          29038
        96           2          80          1.385          31299
        97           2          81          1.393          31625
        98           2          82          1.405          36940
        99           2          83          1.421          50796
       100           2          84          1.434          77554
       101           2          85          1.449         121141
       102           2          86          1.462         188048
       103           2          87          1.473         296381
       104           2          88          1.481         574115
       105           2          89          1.489        1058001
       106           2          90          1.497        1726311
       107           2          91          1.502        2662310
       108           2          92          1.501        4564873
       109           2          93          1.503        7906540
       110           2          94          1.510       13264686
       111           2          95          1.518       21429438
       112           2          96          1.525       22906967
       113           2          97          1.532       16177009
       114           2          98          1.539        6160951
       115           2          99          1.543         426318
       116           3          31          0.812              1
       117           3          32          0.810              1
       118           3          33          0.814              5
       119           3          34          0.865             21
       120           3          35          0.937             39
       121           3          36          0.945             42
       122           3          37          0.951             49
       123           3          38          0.942            103
       124           3          39          0.945            202
       125           3          40          0.980            295
       126           3          41          1.038            211
       127           3          42          1.087            146
       128           3          43          1.135            106
       129           3          44          1.286             82
       130           3          45          1.355             64
       131           3          46          1.342             90
       132           3          47          1.432            145
       133           3          48          1.445            191
       134           3          49          1.464            153
       135           3          50          1.453            157
       136           3          51          1.429            120
       137           3          52          1.375            109
       138           3          53          1.266            185
       139           3          54          1.293            381
       140           3          55          1.290            734
       141           3          56          1.245            978
       142           3          57          1.107           1243
       143           3          58          1.022           1845
       144           3          59          0.974           2669
       145           3          60          0.957           4063
       146           3          61          0.954           6065
       147           3          62          0.964           8203
       148           3          63          0.991          10128
       149           3          64          1.031          11068
       150           3          65          1.105          11622
       151           3          66          1.194          13511
       152           3          67          1.267          16187
       153           3          68          1.301          17959
       154           3          69          1.324          19562
       155           3          70          1.336          22089
       156           3          71          1.342          25375
       157           3          72          1.356          30147
       158           3          73          1.371          34903
       159           3          74          1.378          38892
       160           3          75          1.384          45073
       161           3          76          1.385          53962
       162           3          77          1.383          65189
       163           3          78          1.385          77598
       164           3          79          1.390          85727
       165           3          80          1.399          95110
       166           3          81          1.411         109266
       167           3          82          1.424         153034
       168           3          83          1.433         232564
       169           3          84          1.446         344837
       170           3          85          1.456         493861
       171           3          86          1.465         635758
       172           3          87          1.475         842089
       173           3          88          1.489        1345976
       174           3          89          1.500        2086226
       175           3          90          1.504        3239057
       176           3          91          1.504        5703447
       177           3          92          1.504       10362623
       178           3          93          1.513       18917866
       179           3          94          1.522       31510195
       180           3          95          1.529       32804761
       181           3          96          1.535       21390764
       182           3          97          1.542        8605757
       183           3          98          1.546         807493
