Elevation,Area,WE,EleZone
2530,2500,18.209916,2500
2540,2500,19.781353,2500
2550,3125,21.12134,2500
2560,1875,22.771947,2500
2570,5625,23.389385,2500
2580,3750,23.576132,2500
2590,6250,25.297893,2500
2600,5000,27.084801,2600
2610,8125,28.738617,2600
2620,8750,31.043466,2600
2630,5625,34.371373,2600
2640,8125,39.040847,2600
2650,9375,34.614648,2600
2660,8125,33.796749,2600
2670,11250,35.461334,2600
2680,8750,32.642729,2600
2690,9375,34.827568,2600
2700,8750,41.834163,2700
2710,8750,41.414056,2700
2720,11250,36.069598,2700
2730,6875,38.270746,2700
2740,10000,36.178234,2700
2750,10625,35.564026,2700
2760,8125,40.686528,2700
2770,9375,31.510391,2700
2780,6875,30.367409,2700
2790,7500,32.946383,2700
2800,11250,31.605472,2800
2810,8750,34.309902,2800
2820,8125,32.479674,2800
2830,8125,35.584659,2800
2840,9375,36.238758,2800
2850,8125,36.34716,2800
2860,9375,40.081121,2800
2870,13750,41.105058,2800
2880,11250,44.603118,2800
2890,7500,49.648322,2800
2900,10625,49.783751,2900
2910,10625,49.186659,2900
2920,44375,57.702403,2900
2930,83125,76.263367,2900
2940,75625,84.890461,2900
2950,96250,88.196604,2900
2960,101250,84.012536,2900
2970,97500,78.194102,2900
2980,125000,71.693182,2900
2990,146250,76.267332,2900
3000,124375,75.843834,3000
3010,139375,81.989976,3000
3020,174375,86.29287,3000
3030,180625,75.941164,3000
3040,182500,76.914201,3000
3050,169375,78.685547,3000
3060,204375,78.132463,3000
3070,203125,79.491181,3000
3080,221250,83.007466,3000
3090,228750,75.780132,3000
3100,204375,75.096446,3100
3110,254375,77.23873,3100
3120,267500,77.351316,3100
3130,313125,75.888078,3100
3140,294375,76.085277,3100
3150,260625,77.404395,3100
3160,271875,78.974978,3100
3170,306875,76.127462,3100
3180,293750,77.282589,3100
3190,343750,81.10997,3100
3200,351250,82.462526,3200
3210,326875,79.048411,3200
3220,331250,84.928232,3200
3230,371875,85.148385,3200
3240,346250,86.425598,3200
3250,370000,85.091462,3200
3260,421875,92.06344,3200
3270,445000,93.13611,3200
3280,417500,89.874667,3200
3290,436250,93.869435,3200
3300,455000,92.315235,3300
3310,499375,95.961679,3300
3320,501875,94.987104,3300
3330,496250,89.93208,3300
3340,513125,83.257764,3300
3350,496250,83.346013,3300
3360,437500,78.833835,3300
3370,453750,83.860497,3300
3380,511250,87.594207,3300
3390,587500,80.773185,3300
