,HBV_temp,HBV_prec,HBV_rain,HBV_snow,HBV_pe,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_refreezing,HBV_upper_gw,HBV_lower_gw,HBV_melt_off_glacier,Q_HBV,DDM_smb,pdd,DDM_temp,DDM_prec,DDM_rain,DDM_snow,DDM_accumulation_rate,DDM_ice_melt,DDM_snow_melt,DDM_total_melt,DDM_refreezing_ice,DDM_refreezing_snow,DDM_glacier_reservoir,Q_DDM,water_year,DDM_prec_updated_scaled,DDM_rain_updated_scaled,DDM_snow_updated_scaled,DDM_accumulation_rate_updated_scaled,DDM_ice_melt_updated_scaled,DDM_snow_melt_updated_scaled,DDM_total_melt_updated_scaled,DDM_refreezing_ice_updated_scaled,DDM_refreezing_snow_updated_scaled,DDM_glacier_reservoir_updated_scaled,Q_DDM_updated_scaled,Qobs,Q_Total,Prec_total,Melt_total
1/1/2016,11.076,0,0,0,3.838,0,86.348,0,0,0,0,0,0,-34.556,6.981,6.981,0,0,0,0,34.905,0,34.905,0.349,0,34.556,34.556,2016,0,0,0,0,2.37,0,2.37,0.024,0,2.346,2.346,4.708,2.346,0,2.37
1/2/2016,11.634,0,0,0,4.109,0,84.32,2.027,0,0,0,0,0,-37.32,7.539,7.539,0,0,0,0,37.696,0,37.696,0.377,0,37.32,37.32,2016,0,0,0,0,2.559,0,2.559,0.026,0,2.534,2.534,4.47,2.534,0,2.559
1/3/2016,9.92,0,0,0,2.948,0,82.9,1.42,0,0,0,0,0,-28.834,5.825,5.825,0,0,0,0,29.126,0,29.126,0.291,0,28.834,28.834,2016,0,0,0,0,1.977,0,1.977,0.02,0,1.958,1.958,4.232,1.958,0,1.977
1/4/2016,7.761,0.084,0.084,0,1.761,0,82.121,0.835,0,0,0.027,0,0,-18.15,3.667,3.667,0.084,0.084,0,0,18.333,0,18.333,0.183,0,18.234,18.234,2016,0.006,0.006,0,0,1.245,0,1.245,0.012,0,1.238,1.238,3.636,1.238,0.09,1.245
1/5/2016,8.745,1.039,1.039,0,2.067,0,81.841,0.978,0,0,0.353,0,0.001,-23.019,4.65,4.65,1.039,1.039,0,0,23.251,0,23.251,0.233,0,24.058,24.058,2016,0.071,0.071,0,0,1.579,0,1.579,0.016,0,1.633,1.633,3.139,1.635,1.109,1.579
1/6/2016,9.508,0.122,0.122,0,1.87,0,81.047,0.875,0,0,0.378,0,0.005,-26.794,5.413,5.413,0.122,0.122,0,0,27.065,0,27.065,0.271,0,26.916,26.916,2016,0.008,0.008,0,0,1.838,0,1.838,0.018,0,1.827,1.827,2.841,1.833,0.13,1.838
1/7/2016,9.055,0.091,0.091,0,1.61,0,80.362,0.746,0,0,0.391,0,0.011,-24.552,4.96,4.96,0.091,0.091,0,0,24.8,0,24.8,0.248,0,24.642,24.642,2016,0.006,0.006,0,0,1.684,0,1.684,0.017,0,1.673,1.673,2.841,1.684,0.097,1.684
1/8/2016,7.519,0,0,0,1.586,0,79.634,0.728,0,0,0.375,0,0.016,-16.948,3.424,3.424,0,0,0,0,17.119,0,17.119,0.171,0,16.948,16.948,2016,0,0,0,0,1.162,0,1.162,0.012,0,1.151,1.151,2.841,1.167,0,1.162
1/9/2016,9.759,0,0,0,2.734,0,78.39,1.244,0,0,0.36,0,0.018,-28.038,5.664,5.664,0,0,0,0,28.322,0,28.322,0.283,0,28.038,28.038,2016,0,0,0,0,1.923,0,1.923,0.019,0,1.904,1.904,2.761,1.921,0,1.923
1/10/2016,10.841,0,0,0,3.164,0,76.973,1.417,0,0,0.346,0,0.017,-33.396,6.747,6.747,0,0,0,0,33.733,0,33.733,0.337,0,33.396,33.396,2016,0,0,0,0,2.29,0,2.29,0.023,0,2.267,2.267,2.94,2.284,0,2.29
