Date,Qobs
1/1/2015,74.5
1/2/2015,71.8
1/3/2015,73.5
1/4/2015,87.9
1/5/2015,99
1/6/2015,104
1/7/2015,86.4
1/8/2015,80.4
1/9/2015,80.2
1/10/2015,91.8
1/11/2015,93.7
1/12/2015,96.2
1/13/2015,91.1
1/14/2015,90.8
1/15/2015,96.3
1/16/2015,95.8
1/17/2015,92.9
1/18/2015,93.8
1/19/2015,95.2
1/20/2015,91.6
1/21/2015,95.6
1/22/2015,96.5
1/23/2015,96.4
1/24/2015,103
1/25/2015,115
1/26/2015,121
1/27/2015,118
1/28/2015,105
1/29/2015,99.2
1/30/2015,104
1/31/2015,104
2/1/2015,99.7
2/2/2015,98
2/3/2015,98.7
2/4/2015,95.8
2/5/2015,95.7
2/6/2015,95.6
2/7/2015,92.8
2/8/2015,94.4
2/9/2015,79.4
2/10/2015,65.1
2/11/2015,67.2
2/12/2015,70.5
2/13/2015,81.4
2/14/2015,85.8
2/15/2015,83.7
2/16/2015,87.6
2/17/2015,87.9
2/18/2015,77.8
2/19/2015,63
2/20/2015,61.9
2/21/2015,54.9
2/22/2015,54
2/23/2015,56.2
2/24/2015,61.4
2/25/2015,66.2
2/26/2015,62
2/27/2015,65.3
2/28/2015,61.6
3/1/2015,57.1
3/2/2015,54.1
3/3/2015,52.7
3/4/2015,54.3
3/5/2015,56.7
3/6/2015,59.4
3/7/2015,62.8
3/8/2015,66.6
3/9/2015,70.4
3/10/2015,74
3/11/2015,71.9
3/12/2015,73.6
3/13/2015,70.7
3/14/2015,64.2
3/15/2015,61.6
3/16/2015,62.6
3/17/2015,62.5
3/18/2015,62.4
3/19/2015,62
3/20/2015,60.6
3/21/2015,57.4
3/22/2015,55.4
3/23/2015,72.7
3/24/2015,70.2
3/25/2015,69.1
3/26/2015,68.8
3/27/2015,67.3
3/28/2015,66.2
3/29/2015,65.6
3/30/2015,63.4
3/31/2015,58.6
4/1/2015,57.8
4/2/2015,NA
4/3/2015,NA
4/4/2015,64
4/5/2015,67.1
4/6/2015,66.7
4/7/2015,68
4/8/2015,60.9
4/9/2015,61.6
4/10/2015,60.1
4/11/2015,60.7
4/12/2015,58.3
4/13/2015,59.4
4/14/2015,60.6
4/15/2015,60.3
4/16/2015,59.9
4/17/2015,59.8
4/18/2015,57.8
4/19/2015,57.3
4/20/2015,56.8
4/21/2015,56.8
4/22/2015,57.2
4/23/2015,57.5
4/24/2015,59.4
4/25/2015,58.2
4/26/2015,58.2
4/27/2015,55.1
4/28/2015,56.7
4/29/2015,52.9
4/30/2015,53.8
5/1/2015,54.8
5/2/2015,59.5
5/3/2015,58
5/4/2015,60.9
5/5/2015,61.5
5/6/2015,56.7
5/7/2015,56.5
5/8/2015,58.3
5/9/2015,59.5
5/10/2015,57.8
5/11/2015,57.8
5/12/2015,55.1
5/13/2015,54.5
5/14/2015,54
5/15/2015,52.3
5/16/2015,52.1
5/17/2015,50.5
5/18/2015,45.5
5/19/2015,42.7
5/20/2015,42.8
5/21/2015,42.7
5/22/2015,42.1
5/23/2015,40.4
5/24/2015,40.2
5/25/2015,41.2
5/26/2015,40.8
5/27/2015,40.1
5/28/2015,43.5
5/29/2015,45.4
5/30/2015,42.3
5/31/2015,42.1
6/1/2015,42.3
6/2/2015,49
6/3/2015,45.9
6/4/2015,47.7
6/5/2015,46.2
6/6/2015,45.3
6/7/2015,44.1
6/8/2015,45
6/9/2015,42.1
6/10/2015,48.2
6/11/2015,48.8
6/12/2015,51.7
6/13/2015,46
6/14/2015,47.3
6/15/2015,49.1
6/16/2015,51.8
6/17/2015,54.9
6/18/2015,55.9
6/19/2015,58.2
6/20/2015,55.5
6/21/2015,53.4
6/22/2015,51.2
6/23/2015,49.2
6/24/2015,49.7
6/25/2015,49.6
6/26/2015,49.2
6/27/2015,47.5
6/28/2015,46.6
6/29/2015,47.4
6/30/2015,48.2
7/1/2015,45.5
7/2/2015,45.6
7/3/2015,44.4
7/4/2015,45.2
7/5/2015,44.2
7/6/2015,42.3
7/7/2015,44.1
7/8/2015,43.4
7/9/2015,44.9
7/10/2015,45.5
7/11/2015,45.9
7/12/2015,44.2
7/13/2015,43.8
7/14/2015,45
7/15/2015,46.6
7/16/2015,47.1
7/17/2015,48
7/18/2015,46.8
7/19/2015,47
7/20/2015,47.3
7/21/2015,46.7
7/22/2015,44.2
7/23/2015,43.5
7/24/2015,41.2
7/25/2015,41.6
7/26/2015,41.1
7/27/2015,41.3
7/28/2015,42.9
7/29/2015,45.3
7/30/2015,44.2
7/31/2015,47.5
8/1/2015,52.8
8/2/2015,49.3
8/3/2015,44.5
8/4/2015,42.3
8/5/2015,41
8/6/2015,40.8
8/7/2015,38
8/8/2015,39.7
8/9/2015,39.8
8/10/2015,41.2
8/11/2015,39.4
8/12/2015,39
8/13/2015,38.5
8/14/2015,41.6
8/15/2015,42.3
8/16/2015,42.7
8/17/2015,45.5
8/18/2015,49.6
8/19/2015,51.7
8/20/2015,54.5
8/21/2015,54.5
8/22/2015,53
8/23/2015,48.3
8/24/2015,47.7
8/25/2015,43.6
8/26/2015,49.8
8/27/2015,51.6
8/28/2015,51.2
8/29/2015,45.9
8/30/2015,49.5
8/31/2015,46.2
9/1/2015,45.7
9/2/2015,47
9/3/2015,48.9
9/4/2015,47.9
9/5/2015,49
9/6/2015,44.3
9/7/2015,46.2
9/8/2015,47.4
9/9/2015,46.3
9/10/2015,44
9/11/2015,43.6
9/12/2015,44.9
9/13/2015,46.7
9/14/2015,46.9
9/15/2015,49.2
9/16/2015,54.5
9/17/2015,46.6
9/18/2015,45.6
9/19/2015,48
9/20/2015,45.4
9/21/2015,46.1
9/22/2015,52.4
9/23/2015,49.3
9/24/2015,47
9/25/2015,44.4
9/26/2015,44
9/27/2015,44.3
9/28/2015,44.3
9/29/2015,46.7
9/30/2015,46.4
10/1/2015,51.7
10/2/2015,65.8
10/3/2015,73.5
10/4/2015,73.4
10/5/2015,65.5
10/6/2015,70.6
10/7/2015,83.5
10/8/2015,88.7
10/9/2015,84.9
10/10/2015,76.8
10/11/2015,77.9
10/12/2015,77.5
10/13/2015,77.4
10/14/2015,80.1
10/15/2015,73.6
10/16/2015,71.5
10/17/2015,67.9
10/18/2015,64.4
10/19/2015,62.2
10/20/2015,72.7
10/21/2015,88.7
10/22/2015,113
10/23/2015,126
10/24/2015,138
10/25/2015,149
10/26/2015,154
10/27/2015,153
10/28/2015,116
10/29/2015,109
10/30/2015,95.3
10/31/2015,86.7
11/1/2015,89.9
11/2/2015,79.9
11/3/2015,85.4
11/4/2015,87.8
11/5/2015,99.2
11/6/2015,88.1
11/7/2015,96.1
11/8/2015,108
11/9/2015,122
11/10/2015,122
11/11/2015,116
11/12/2015,112
11/13/2015,110
11/14/2015,123
11/15/2015,143
11/16/2015,169
11/17/2015,169
