,HBV_temp,HBV_prec,HBV_rain,HBV_snow,HBV_pe,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_refreezing,HBV_upper_gw,HBV_lower_gw,HBV_melt_off_glacier,Q_HBV,DDM_smb,pdd,DDM_temp,DDM_prec,DDM_rain,DDM_snow,DDM_accumulation_rate,DDM_ice_melt,DDM_snow_melt,DDM_total_melt,DDM_refreezing_ice,DDM_refreezing_snow,DDM_glacier_reservoir,Q_DDM,water_year,DDM_prec_updated_scaled,DDM_rain_updated_scaled,DDM_snow_updated_scaled,DDM_accumulation_rate_updated_scaled,DDM_ice_melt_updated_scaled,DDM_snow_melt_updated_scaled,DDM_total_melt_updated_scaled,DDM_refreezing_ice_updated_scaled,DDM_refreezing_snow_updated_scaled,DDM_glacier_reservoir_updated_scaled,Q_DDM_updated_scaled,Qobs,Q_Total,Prec_total,Melt_total
2011-01-01,12.375,0.349,0.349,0.0,8.045,0.0,36.023,0.0,0,0.0,0.0,0.0,0.0,-40.986,8.28,8.28,0.174,0.174,0.0,0.0,41.4,0.0,41.4,0.414,0.0,41.161,41.161,2011,0.012,0.012,0.0,0.0,2.826,0.0,2.826,0.028,0.0,2.809,2.809,1.742,2.809,0.361,2.826
2011-01-02,9.643,4.393,4.393,0.0,1.947,0.0,39.34,0.443,0,0.0,0.608,0.0,0.002,-27.464,5.548,5.548,4.393,4.393,0.0,0.0,27.742,0.0,27.742,0.277,0.0,31.857,31.857,2011,0.3,0.3,0.0,0.0,1.894,0.0,1.894,0.019,0.0,2.174,2.174,1.879,2.176,4.693,1.894
2011-01-03,9.5,2.991,2.991,0.0,2.293,0.0,41.312,0.549,0,0.0,1.035,0.0,0.009,-26.758,5.406,5.406,2.991,2.991,0.0,0.0,27.028,0.0,27.028,0.27,0.0,29.749,29.749,2011,0.204,0.204,0.0,0.0,1.845,0.0,1.845,0.018,0.0,2.031,2.031,1.661,2.04,3.195,1.845
2011-01-04,5.149,3.45,3.45,0.0,0.217,0.0,44.137,0.055,0,0.0,1.541,0.0,0.025,-2.787,1.054,1.054,2.96,1.819,1.142,1.142,2.988,1.142,4.13,0.03,0.171,5.747,5.747,2011,0.202,0.124,0.078,0.078,0.204,0.078,0.282,0.002,0.012,0.392,0.392,1.645,0.417,3.652,0.282
2011-01-05,11.481,0.007,0.007,0.0,3.565,0.0,43.243,0.899,0,0.0,1.481,0.0,0.045,-36.564,7.387,7.387,0.007,0.007,0.0,0.0,36.933,0.0,36.933,0.369,0.0,36.571,36.571,2011,0.0,0.0,0.0,0.0,2.521,0.0,2.521,0.025,0.0,2.496,2.496,1.466,2.541,0.008,2.521
2011-01-06,10.758,0.0,0.0,0.0,2.599,0.0,42.601,0.642,0,0.0,1.422,0.0,0.061,-32.983,6.663,6.663,0.0,0.0,0.0,0.0,33.316,0.0,33.316,0.333,0.0,32.983,32.983,2011,0.0,0.0,0.0,0.0,2.274,0.0,2.274,0.023,0.0,2.251,2.251,1.643,2.312,0.0,2.274
2011-01-07,9.343,0.0,0.0,0.0,2.07,0.0,42.097,0.504,0,0.0,1.365,0.0,0.066,-25.98,5.249,5.249,0.0,0.0,0.0,0.0,26.243,0.0,26.243,0.262,0.0,25.98,25.98,2011,0.0,0.0,0.0,0.0,1.791,0.0,1.791,0.018,0.0,1.773,1.773,1.597,1.839,0.0,1.791
2011-01-08,11.249,0.0,0.0,0.0,3.35,0.0,41.292,0.806,0,0.0,1.31,0.0,0.063,-35.414,7.154,7.154,0.0,0.0,0.0,0.0,35.771,0.0,35.771,0.358,0.0,35.414,35.414,2011,0.0,0.0,0.0,0.0,2.442,0.0,2.442,0.024,0.0,2.417,2.417,1.655,2.48,0.0,2.442
2011-01-09,11.58,1.44,1.44,0.0,2.968,0.0,41.773,0.721,0,0.0,1.486,0.0,0.058,-37.049,7.485,7.485,1.44,1.44,0.0,0.0,37.424,0.0,37.424,0.374,0.0,38.49,38.49,2011,0.098,0.098,0.0,0.0,2.554,0.0,2.554,0.026,0.0,2.627,2.627,1.707,2.685,1.539,2.554
2011-01-10,11.701,0.161,0.161,0.0,3.237,0.0,41.132,0.775,0,0.0,1.452,0.0,0.056,-37.649,7.606,7.606,0.161,0.161,0.0,0.0,38.029,0.0,38.029,0.38,0.0,37.81,37.81,2011,0.011,0.011,0.0,0.0,2.596,0.0,2.596,0.026,0.0,2.581,2.581,1.605,2.637,0.172,2.596
