Date,Qobs
1/1/2011,87.7
1/2/2011,94.6
1/3/2011,83.6
1/4/2011,82.8
1/5/2011,73.8
1/6/2011,82.7
1/7/2011,80.4
1/8/2011,83.3
1/9/2011,85.9
1/10/2011,80.8
1/11/2011,87.3
1/12/2011,93.7
1/13/2011,94
1/14/2011,91.4
1/15/2011,92.3
1/16/2011,88.7
1/17/2011,85.4
1/18/2011,89.3
1/19/2011,99.4
1/20/2011,96.9
1/21/2011,100
1/22/2011,99.7
1/23/2011,108
1/24/2011,109
1/25/2011,103
1/26/2011,100
1/27/2011,98.5
1/28/2011,101
1/29/2011,105
1/30/2011,102
1/31/2011,99.7
2/1/2011,97.3
2/2/2011,102
2/3/2011,102
2/4/2011,102
2/5/2011,107
2/6/2011,112
2/7/2011,108
2/8/2011,105
2/9/2011,88.2
2/10/2011,79.3
2/11/2011,78.8
2/12/2011,70.8
2/13/2011,62.7
2/14/2011,67.2
2/15/2011,73.9
2/16/2011,80.9
2/17/2011,75.8
2/18/2011,75.5
2/19/2011,76.8
2/20/2011,72
2/21/2011,78.6
2/22/2011,80.4
2/23/2011,79.5
2/24/2011,72.1
2/25/2011,64.1
2/26/2011,72.3
2/27/2011,78.3
2/28/2011,85.2
3/1/2011,89.4
3/2/2011,89.6
3/3/2011,90.5
3/4/2011,89.1
3/5/2011,78.9
3/6/2011,71.4
3/7/2011,72.8
3/8/2011,79.7
3/9/2011,83.1
3/10/2011,83.7
3/11/2011,71.6
3/12/2011,58.7
3/13/2011,58.1
3/14/2011,61.2
3/15/2011,51.9
3/16/2011,52.1
3/17/2011,60.5
3/18/2011,55.4
3/19/2011,62
3/20/2011,61.9
3/21/2011,64.2
3/22/2011,61.7
3/23/2011,59.5
3/24/2011,57.2
3/25/2011,56.9
3/26/2011,53.7
3/27/2011,53.3
3/28/2011,53.3
3/29/2011,54.3
3/30/2011,53.6
3/31/2011,55.2
4/1/2011,54.6
4/2/2011,52.3
4/3/2011,54.5
4/4/2011,54.6
4/5/2011,56.2
4/6/2011,58.2
4/7/2011,57.2
4/8/2011,54.4
4/9/2011,54.7
4/10/2011,56
4/11/2011,50
4/12/2011,49.4
4/13/2011,49
4/14/2011,49
4/15/2011,49.6
4/16/2011,49.4
4/17/2011,49.7
4/18/2011,49.6
4/19/2011,49.6
4/20/2011,49.6
4/21/2011,49.5
4/22/2011,49
4/23/2011,49.9
4/24/2011,49.8
4/25/2011,50.6
4/26/2011,50.1
4/27/2011,49.8
4/28/2011,48.8
4/29/2011,48.6
4/30/2011,48.3
5/1/2011,48.4
5/2/2011,48
5/3/2011,47.6
5/4/2011,47.4
5/5/2011,47
5/6/2011,46.4
5/7/2011,45.6
5/8/2011,45.8
5/9/2011,45.7
5/10/2011,45
5/11/2011,45.1
5/12/2011,45.1
5/13/2011,44.3
5/14/2011,44.1
5/15/2011,43.5
5/16/2011,43
5/17/2011,42.5
5/18/2011,42.4
5/19/2011,41.8
5/20/2011,41.4
5/21/2011,41.2
5/22/2011,40.8
5/23/2011,40.6
5/24/2011,40.1
5/25/2011,40.2
5/26/2011,39.9
5/27/2011,36.3
5/28/2011,34.1
5/29/2011,34.1
5/30/2011,34
5/31/2011,34.2
6/1/2011,34.1
6/2/2011,34
6/3/2011,34.1
6/4/2011,34
6/5/2011,33.9
6/6/2011,33.9
6/7/2011,33.8
6/8/2011,33.9
6/9/2011,34.2
6/10/2011,34.1
6/11/2011,34.2
6/12/2011,34.3
6/13/2011,34.4
6/14/2011,33.9
6/15/2011,33.9
6/16/2011,33.8
6/17/2011,33.9
6/18/2011,33.6
6/19/2011,33.7
6/20/2011,33.8
6/21/2011,33.8
6/22/2011,33.8
6/23/2011,34
6/24/2011,33.8
6/25/2011,34.1
6/26/2011,34.4
6/27/2011,34
6/28/2011,33.7
6/29/2011,33.4
6/30/2011,34.6
7/1/2011,34.7
7/2/2011,34.7
7/3/2011,35
7/4/2011,35
7/5/2011,34.4
7/6/2011,33.1
7/7/2011,34.2
7/8/2011,35.3
7/9/2011,36
7/10/2011,34.5
7/11/2011,34.7
7/12/2011,34.1
7/13/2011,34.3
7/14/2011,34.5
7/15/2011,34.5
7/16/2011,31.8
7/17/2011,31.3
7/18/2011,32.5
7/19/2011,32.9
7/20/2011,32.9
7/21/2011,32.4
7/22/2011,33.8
7/23/2011,34.7
7/24/2011,34.4
7/25/2011,33.8
7/26/2011,32.5
7/27/2011,33.7
7/28/2011,30
7/29/2011,30.6
7/30/2011,30.3
7/31/2011,29.8
8/1/2011,31
8/2/2011,32.6
8/3/2011,28.7
8/4/2011,30.2
8/5/2011,28.1
8/6/2011,28.9
8/7/2011,31.6
8/8/2011,35.2
8/9/2011,35
8/10/2011,35
8/11/2011,35.7
8/12/2011,37.8
8/13/2011,34.8
8/14/2011,32.2
8/15/2011,32
8/16/2011,31.4
8/17/2011,29.3
8/18/2011,29.8
8/19/2011,29.5
8/20/2011,30.7
8/21/2011,32.5
8/22/2011,36.7
8/23/2011,40.1
8/24/2011,40
8/25/2011,35.3
8/26/2011,33.3
8/27/2011,32
8/28/2011,31
8/29/2011,33.2
8/30/2011,33.5
8/31/2011,34.2
9/1/2011,35.5
9/2/2011,36.4
9/3/2011,34.8
9/4/2011,33.4
9/5/2011,32.2
9/6/2011,35.1
9/7/2011,32.8
9/8/2011,33.7
9/9/2011,36.5
9/10/2011,40.1
9/11/2011,40.8
9/12/2011,46.9
9/13/2011,50.8
9/14/2011,51.6
9/15/2011,49.8
9/16/2011,47.5
9/17/2011,41.1
9/18/2011,41.6
9/19/2011,46
9/20/2011,47.5
9/21/2011,52.4
9/22/2011,52.1
9/23/2011,47.9
9/24/2011,50.2
9/25/2011,58
9/26/2011,49.6
9/27/2011,54.1
9/28/2011,65.2
9/29/2011,58.3
9/30/2011,60.1
10/1/2011,61.3
10/2/2011,63.6
10/3/2011,70.6
10/4/2011,74.2
10/5/2011,68.6
10/6/2011,63.1
10/7/2011,56.9
10/8/2011,52.5
10/9/2011,48
10/10/2011,50.5
10/11/2011,50.1
10/12/2011,51.4
10/13/2011,48.5
10/14/2011,52.3
10/15/2011,50
10/16/2011,56.4
10/17/2011,52.6
10/18/2011,52.8
10/19/2011,59.5
10/20/2011,74
10/21/2011,90.6
10/22/2011,87
10/23/2011,80.2
10/24/2011,82.8
10/25/2011,74.9
10/26/2011,75.7
10/27/2011,81.9
10/28/2011,76.3
10/29/2011,72.6
10/30/2011,75.8
10/31/2011,88.1
11/1/2011,92.8
11/2/2011,88.9
11/3/2011,85.4
11/4/2011,89.6
11/5/2011,87.3
11/6/2011,95.1
11/7/2011,101
11/8/2011,77.1
11/9/2011,61
11/10/2011,63
11/11/2011,73.5
11/12/2011,88.2
11/13/2011,91.8
11/14/2011,70.4
11/15/2011,72.5
11/16/2011,85.3
11/17/2011,85.7
11/18/2011,84.2
11/19/2011,78.1
11/20/2011,71.2
11/21/2011,61.7
11/22/2011,71.2
11/23/2011,91.1
11/24/2011,92.6
11/25/2011,98
11/26/2011,106
11/27/2011,112
11/28/2011,110
11/29/2011,113
11/30/2011,115
12/1/2011,115
12/2/2011,118
12/3/2011,108
12/4/2011,105
12/5/2011,94.1
12/6/2011,97.2
12/7/2011,88.9
12/8/2011,91.7
12/9/2011,97
12/10/2011,96.9
12/11/2011,95.2
12/12/2011,95.2
12/13/2011,98
12/14/2011,105
12/15/2011,113
12/16/2011,109
12/17/2011,94.5
12/18/2011,97.2
12/19/2011,96.9
12/20/2011,88.5
12/21/2011,88.3
12/22/2011,82.2
12/23/2011,82.5
12/24/2011,81.6
12/25/2011,81.1
12/26/2011,87.3
12/27/2011,95
12/28/2011,100
12/29/2011,110
12/30/2011,101
12/31/2011,101
1/1/2012,108
1/2/2012,103
1/3/2012,105
1/4/2012,108
1/5/2012,100
1/6/2012,87.3
1/7/2012,84.9
1/8/2012,83.5
1/9/2012,88.3
1/10/2012,84.4
1/11/2012,81.7
1/12/2012,83.6
1/13/2012,91.4
1/14/2012,85.2
1/15/2012,83.2
1/16/2012,77.2
1/17/2012,66.5
1/18/2012,72.7
1/19/2012,76.4
1/20/2012,80
1/21/2012,75.3
1/22/2012,67.1
1/23/2012,63.3
1/24/2012,48.6
1/25/2012,61.5
1/26/2012,70.2
1/27/2012,80.3
1/28/2012,82.6
1/29/2012,80.6
1/30/2012,75.8
1/31/2012,78
2/1/2012,79.3
2/2/2012,73.8
2/3/2012,78.2
2/4/2012,81.4
2/5/2012,81.2
2/6/2012,82.2
2/7/2012,85.4
2/8/2012,87.8
