,HBV_temp,HBV_prec,HBV_rain,HBV_snow,HBV_pe,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_refreezing,HBV_upper_gw,HBV_lower_gw,HBV_melt_off_glacier,Q_HBV,DDM_smb,pdd,DDM_temp,DDM_prec,DDM_rain,DDM_snow,DDM_accumulation_rate,DDM_ice_melt,DDM_snow_melt,DDM_total_melt,DDM_refreezing_ice,DDM_refreezing_snow,DDM_glacier_reservoir,Q_DDM,water_year,DDM_prec_updated_scaled,DDM_rain_updated_scaled,DDM_snow_updated_scaled,DDM_accumulation_rate_updated_scaled,DDM_ice_melt_updated_scaled,DDM_snow_melt_updated_scaled,DDM_total_melt_updated_scaled,DDM_refreezing_ice_updated_scaled,DDM_refreezing_snow_updated_scaled,DDM_glacier_reservoir_updated_scaled,Q_DDM_updated_scaled,Qobs,Q_Total,Prec_total,Melt_total
2016-01-01,7.919,0.691,0.691,0.0,4.508,94.884,188.978,0.0,0,0.0,0.0,0.0,0.0,-7.944,3.738,3.738,0.691,0.691,0.0,0.0,0.0,9.346,9.346,0.0,1.402,8.984,8.532,2016,0.059,0.059,0.0,0.0,0.0,0.803,0.803,0.0,0.12,0.771,0.733,4.381,0.733,0.75,0.803
2016-01-02,7.545,0.16,0.16,0.0,4.18,76.021,187.586,4.18,0,6.741,1.44,18.863,0.029,-7.15,3.365,3.365,0.16,0.16,0.0,0.0,0.0,8.411,8.411,0.0,1.262,7.762,7.407,2016,0.014,0.014,0.0,0.0,0.0,0.722,0.722,0.0,0.108,0.666,0.636,4.12,0.665,0.174,19.585
2016-01-03,7.322,0.171,0.171,0.0,3.442,57.716,189.213,3.442,0,19.352,2.822,25.907,0.194,-6.675,3.141,3.141,0.171,0.171,0.0,0.0,0.0,7.853,7.853,0.0,1.178,7.201,6.903,2016,0.015,0.015,0.0,0.0,0.0,0.674,0.674,0.0,0.101,0.618,0.593,3.808,0.787,0.186,26.581
2016-01-04,6.453,1.786,1.786,0.0,2.58,41.584,191.383,2.58,0,30.84,4.15,21.904,0.621,-4.829,2.272,2.272,1.786,1.786,0.0,0.0,0.0,5.681,5.681,0.0,0.852,6.914,6.648,2016,0.153,0.153,0.0,0.0,0.0,0.488,0.488,0.0,0.073,0.594,0.571,3.574,1.192,1.939,22.392
2016-01-05,5.969,2.625,2.625,0.0,2.458,26.66,193.389,2.458,0,41.5,5.424,19.082,1.303,-3.607,1.789,1.789,2.541,2.347,0.194,0.194,0.0,4.472,4.472,0.0,0.671,6.414,6.183,2016,0.218,0.202,0.017,0.017,0.0,0.384,0.384,0.0,0.058,0.551,0.531,3.431,1.834,2.843,19.466
2016-01-06,7.868,3.689,3.689,0.0,2.84,6.991,196.283,2.84,0,56.314,6.647,22.335,2.106,-7.835,3.687,3.687,3.689,3.689,0.0,0.0,0.0,9.218,9.218,0.0,1.383,11.756,11.391,2016,0.317,0.317,0.0,0.0,0.0,0.792,0.792,0.0,0.119,1.009,0.978,3.369,3.084,4.006,23.127
2016-01-07,6.246,3.832,3.832,0.0,1.803,0.0,196.956,1.803,0,60.347,7.821,7.69,2.899,-4.39,2.066,2.066,3.832,3.832,0.0,0.0,0.0,5.164,5.164,0.0,0.775,8.586,8.344,2016,0.329,0.329,0.0,0.0,0.0,0.443,0.443,0.0,0.067,0.737,0.716,3.387,3.615,4.161,8.134
2016-01-08,5.644,1.417,1.417,0.0,1.541,0.0,195.716,1.541,0,56.666,8.948,0.0,3.53,-2.844,1.463,1.463,1.303,1.037,0.266,0.266,0.0,3.659,3.659,0.0,0.549,4.389,4.273,2016,0.112,0.089,0.023,0.023,0.0,0.314,0.314,0.0,0.047,0.377,0.367,3.356,3.897,1.529,0.314
2016-01-09,6.557,0.544,0.544,0.0,2.533,0.0,193.301,2.533,0,52.534,10.03,0.0,3.831,-5.049,2.376,2.376,0.544,0.544,0.0,0.0,0.0,5.94,5.94,0.0,0.891,5.708,5.577,2016,0.047,0.047,0.0,0.0,0.0,0.51,0.51,0.0,0.077,0.49,0.479,3.264,4.31,0.591,0.51
2016-01-10,6.963,0.111,0.111,0.0,2.845,0.0,190.482,2.845,0,48.308,11.069,0.0,3.773,-5.913,2.782,2.782,0.111,0.111,0.0,0.0,0.0,6.956,6.956,0.0,1.043,6.155,6.037,2016,0.01,0.01,0.0,0.0,0.0,0.597,0.597,0.0,0.09,0.529,0.518,3.197,4.292,0.121,0.597
