,HBV_temp,HBV_prec,HBV_rain,HBV_snow,HBV_pe,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_refreezing,HBV_upper_gw,HBV_lower_gw,HBV_melt_off_glacier,Q_HBV,DDM_smb,pdd,DDM_temp,DDM_prec,DDM_rain,DDM_snow,DDM_accumulation_rate,DDM_ice_melt,DDM_snow_melt,DDM_total_melt,DDM_refreezing_ice,DDM_refreezing_snow,DDM_glacier_reservoir,Q_DDM,water_year,DDM_prec_updated_scaled,DDM_rain_updated_scaled,DDM_snow_updated_scaled,DDM_accumulation_rate_updated_scaled,DDM_ice_melt_updated_scaled,DDM_snow_melt_updated_scaled,DDM_total_melt_updated_scaled,DDM_refreezing_ice_updated_scaled,DDM_refreezing_snow_updated_scaled,DDM_glacier_reservoir_updated_scaled,Q_DDM_updated_scaled,Qobs,Q_Total,Prec_total,Melt_total
2016-01-01,20.524,0.765,0.765,0.0,5.197,0.0,33.895,0.0,0,0.0,0.0,0.0,0.0,-46.454,15.641,15.641,0.765,0.765,0.0,0.0,46.923,0.0,46.923,0.469,0.0,47.219,47.219,2016,0.142,0.142,0.0,0.0,8.722,0.0,8.722,0.087,0.0,8.777,8.777,0.582,8.777,0.908,8.722
2016-01-02,20.017,0.114,0.114,0.0,5.339,0.0,32.956,1.037,0,0.0,0.015,0.0,0.0,-44.949,15.134,15.134,0.114,0.114,0.0,0.0,45.403,0.0,45.403,0.454,0.0,45.063,45.063,2016,0.021,0.021,0.0,0.0,8.439,0.0,8.439,0.084,0.0,8.376,8.376,0.548,8.376,0.135,8.439
2016-01-03,19.38,0.029,0.029,0.0,4.709,0.0,32.094,0.887,0,0.0,0.018,0.0,0.0,-43.058,14.498,14.498,0.029,0.029,0.0,0.0,43.493,0.0,43.493,0.435,0.0,43.087,43.087,2016,0.005,0.005,0.0,0.0,8.084,0.0,8.084,0.081,0.0,8.009,8.009,0.506,8.009,0.034,8.084
2016-01-04,19.191,0.129,0.129,0.0,4.261,0.0,31.422,0.784,0,0.0,0.033,0.0,0.001,-42.497,14.309,14.309,0.129,0.129,0.0,0.0,42.926,0.0,42.926,0.429,0.0,42.626,42.626,2016,0.024,0.024,0.0,0.0,7.979,0.0,7.979,0.08,0.0,7.923,7.923,0.475,7.924,0.153,7.979
2016-01-05,18.966,0.458,0.458,0.0,4.386,0.0,31.025,0.797,0,0.0,0.087,0.0,0.001,-41.828,14.084,14.084,0.458,0.458,0.0,0.0,42.251,0.0,42.251,0.423,0.0,42.286,42.286,2016,0.085,0.085,0.0,0.0,7.853,0.0,7.853,0.079,0.0,7.86,7.86,0.456,7.861,0.543,7.853
2016-01-06,21.564,0.556,0.556,0.0,4.862,0.0,30.636,0.876,0,0.0,0.15,0.0,0.002,-49.543,16.681,16.681,0.556,0.556,0.0,0.0,50.044,0.0,50.044,0.5,0.0,50.099,50.099,2016,0.103,0.103,0.0,0.0,9.302,0.0,9.302,0.093,0.0,9.312,9.312,0.448,9.314,0.659,9.302
2016-01-07,19.053,0.373,0.373,0.0,3.687,0.0,30.311,0.652,0,0.0,0.188,0.0,0.004,-42.085,14.17,14.17,0.373,0.373,0.0,0.0,42.51,0.0,42.51,0.425,0.0,42.458,42.458,2016,0.069,0.069,0.0,0.0,7.902,0.0,7.902,0.079,0.0,7.892,7.892,0.45,7.896,0.442,7.902
2016-01-08,17.956,1.374,1.374,0.0,3.907,0.0,30.815,0.704,0,0.0,0.34,0.0,0.007,-38.828,13.073,13.073,1.374,1.374,0.0,0.0,39.22,0.0,39.22,0.392,0.0,40.202,40.202,2016,0.255,0.255,0.0,0.0,7.29,0.0,7.29,0.073,0.0,7.473,7.473,0.446,7.479,1.63,7.29
2016-01-09,18.929,0.574,0.574,0.0,4.544,0.0,30.505,0.813,0,0.0,0.395,0.0,0.01,-41.717,14.046,14.046,0.574,0.574,0.0,0.0,42.138,0.0,42.138,0.421,0.0,42.291,42.291,2016,0.107,0.107,0.0,0.0,7.832,0.0,7.832,0.078,0.0,7.861,7.861,0.434,7.871,0.681,7.832
2016-01-10,19.428,0.0,0.0,0.0,5.376,0.0,29.568,0.937,0,0.0,0.379,0.0,0.014,-43.199,14.545,14.545,0.0,0.0,0.0,0.0,43.635,0.0,43.635,0.436,0.0,43.199,43.199,2016,0.0,0.0,0.0,0.0,8.111,0.0,8.111,0.081,0.0,8.029,8.029,0.425,8.043,0.0,8.111
2016-01-11,19.443,0.221,0.221,0.0,4.763,0.0,28.953,0.81,0,0.0,0.389,0.0,0.016,-43.244,14.56,14.56,0.221,0.221,0.0,0.0,43.68,0.0,43.68,0.437,0.0,43.464,43.464,2016,0.041,0.041,0.0,0.0,8.119,0.0,8.119,0.081,0.0,8.079,8.079,0.419,8.095,0.262,8.119
2016-01-12,18.427,0.086,0.086,0.0,4.203,0.0,28.332,0.697,0,0.0,0.383,0.0,0.017,-40.226,13.544,13.544,0.086,0.086,0.0,0.0,40.632,0.0,40.632,0.406,0.0,40.313,40.313,2016,0.016,0.016,0.0,0.0,7.552,0.0,7.552,0.076,0.0,7.493,7.493,0.417,7.51,0.103,7.552
2016-01-13,20.366,0.001,0.001,0.0,5.854,0.0,27.386,0.948,0,0.0,0.368,0.0,0.017,-45.984,15.483,15.483,0.001,0.001,0.0,0.0,46.449,0.0,46.449,0.464,0.0,45.986,45.986,2016,0.0,0.0,0.0,0.0,8.634,0.0,8.634,0.086,0.0,8.547,8.547,0.412,8.564,0.002,8.634
2016-01-14,20.078,0.127,0.127,0.0,4.839,0.0,26.738,0.76,0,0.0,0.366,0.0,0.016,-45.13,15.195,15.195,0.127,0.127,0.0,0.0,45.586,0.0,45.586,0.456,0.0,45.257,45.257,2016,0.024,0.024,0.0,0.0,8.473,0.0,8.473,0.085,0.0,8.412,8.412,0.406,8.428,0.151,8.473
2016-01-15,20.707,0.0,0.0,0.0,5.586,0.0,25.885,0.854,0,0.0,0.352,0.0,0.015,-46.997,15.824,15.824,0.0,0.0,0.0,0.0,47.471,0.0,47.471,0.475,0.0,46.997,46.997,2016,0.0,0.0,0.0,0.0,8.824,0.0,8.824,0.088,0.0,8.735,8.735,0.403,8.751,0.0,8.824
2016-01-16,22.176,0.005,0.005,0.0,5.812,0.0,25.03,0.86,0,0.0,0.338,0.0,0.015,-51.361,17.293,17.293,0.005,0.005,0.0,0.0,51.88,0.0,51.88,0.519,0.0,51.366,51.366,2016,0.001,0.001,0.0,0.0,9.643,0.0,9.643,0.096,0.0,9.548,9.548,0.4,9.562,0.006,9.643
2016-01-17,23.363,0.002,0.002,0.0,6.388,0.0,24.118,0.914,0,0.0,0.325,0.0,0.015,-54.886,18.48,18.48,0.002,0.002,0.0,0.0,55.44,0.0,55.44,0.554,0.0,54.888,54.888,2016,0.0,0.0,0.0,0.0,10.305,0.0,10.305,0.103,0.0,10.202,10.202,0.402,10.217,0.002,10.305
2016-01-18,23.616,0.0,0.0,0.0,6.33,0.0,23.246,0.872,0,0.0,0.312,0.0,0.014,-55.637,18.733,18.733,0.0,0.0,0.0,0.0,56.199,0.0,56.199,0.562,0.0,55.637,55.637,2016,0.0,0.0,0.0,0.0,10.446,0.0,10.446,0.104,0.0,10.341,10.341,0.409,10.355,0.0,10.446
