,time,glacier_area,glacier_elev,smb_water_year,smb_scaled_cum
0,initial,79.99,4529,,
1,2009,70.16445243749999,4531,-1394.5757430918616,-205.98673010787186
2,2010,69.3897904375,4533,-1296.3583111275825,-373.94586788475135
3,2011,68.9930611875,4535,-914.442625769654,-491.11507141032337
4,2012,68.16999518749999,4537,-1414.0642441762727,-671.2657886506697
5,2013,67.776718,4538,-952.1466862575668,-791.1214529844752
6,2014,67.3744669375,4540,-1069.0762542875375,-924.9197722667996
7,2015,66.555824625,4542,-1512.063332382372,-1113.0362176458084
8,2016,66.13971893749999,4543,-875.7500453004473,-1220.664814138011
9,2017,65.707584125,4545,-1078.2994869626746,-1352.3579634283105
10,2018,64.832511125,4548,-1203.977911182185,-1498.439543861595
