FID,Shape *,line_type,anlys_id,glac_id,anlys_time,area,db_area,width,length,primeclass,min_elev,mean_elev,max_elev,src_date,rec_status,glac_name
0,Polygon ZM,glac_bound,326387,G289929E33164S,2015-07-16T00:00:00,2.518,2.51819,0,0,0,0,0,0,2000-06-15T00:00:00,okay,S/N
1,Polygon ZM,glac_bound,316589,G289761E33173S,2015-07-16T00:00:00,2.818,2.81762,0,0,0,0,0,0,2000-06-15T00:00:00,okay,S/N
2,Polygon ZM,glac_bound,320272,G289780E33155S,2015-07-16T00:00:00,0.673,0.673077,0,0,0,0,0,0,2000-06-15T00:00:00,okay,S/N
3,Polygon ZM,glac_bound,320591,G289930E33137S,2015-07-16T00:00:00,4.405,4.40513,0,0,0,0,0,0,2000-06-15T00:00:00,okay,S/N
4,Polygon ZM,glac_bound,316091,G289911E33127S,2015-07-16T00:00:00,0.455,0.454843,0,0,0,0,0,0,2000-06-15T00:00:00,okay,S/N
5,Polygon ZM,glac_bound,325781,G289926E33103S,2015-07-16T00:00:00,0.581,0.581469,0,0,0,0,0,0,2000-06-15T00:00:00,okay,S/N
6,Polygon ZM,glac_bound,319964,G289777E33194S,2015-07-16T00:00:00,4.636,4.63648,0,0,0,0,0,0,2000-06-15T00:00:00,okay,OLIVARES ALFA
7,Polygon ZM,glac_bound,318030,G289794E33222S,2015-07-16T00:00:00,5.374,5.3742,0,0,0,0,0,0,2000-06-15T00:00:00,okay,ESMERALDA
8,Polygon ZM,glac_bound,748306,G289794E33222S,2016-09-09T00:00:00,5.79,5.78957,0,0,0,3441,4932,5353,2003-03-24T00:00:00,okay,ESMERALDA
9,Polygon ZM,glac_bound,967964,G289794E33222S,2022-04-15T00:00:00,0,5.78957,0,0,0,0,0,0,2003-03-24T00:00:00,okay,ESMERALDA
10,Polygon ZM,glac_bound,324008,G289884E33094S,2015-07-16T00:00:00,24.719,24.7193,0,0,0,0,0,0,2000-06-15T00:00:00,okay,JUNCAL SUR
11,Polygon ZM,glac_bound,748963,G289884E33094S,2016-09-09T00:00:00,2.14,21.4507,0,0,0,3773,4415,5648,2003-03-24T00:00:00,okay,JUNCAL SUR
12,Polygon ZM,glac_bound,968508,G289884E33094S,2022-04-15T00:00:00,0,21.4507,0,0,0,0,0,0,2003-03-24T00:00:00,okay,JUNCAL SUR
13,Polygon ZM,glac_bound,320472,G289794E33245S,2015-07-16T00:00:00,1.262,1.2619,0,0,0,0,0,0,2000-06-15T00:00:00,okay,S/N
14,Polygon ZM,glac_bound,748285,G289794E33245S,2016-09-09T00:00:00,0.75,0.751443,0,0,0,4891,5179,5401,2003-03-24T00:00:00,okay,S/N
15,Polygon ZM,glac_bound,967940,G289794E33245S,2022-04-15T00:00:00,0,0.751443,0,0,0,0,0,0,2003-03-24T00:00:00,okay,S/N
16,Polygon ZM,glac_bound,327831,G289815E33129S,2015-07-16T00:00:00,22.663,22.6634,0,0,0,0,0,0,2000-06-15T00:00:00,okay,OLIVARES GAMA
17,Polygon ZM,glac_bound,748629,G289815E33129S,2016-09-09T00:00:00,1.21,12.1585,0,0,0,3618,4418,4973,2003-03-24T00:00:00,okay,OLIVARES GAMA
18,Polygon ZM,glac_bound,968203,G289815E33129S,2022-04-15T00:00:00,0,12.1584,0,0,0,0,0,0,2003-03-24T00:00:00,okay,OLIVARES GAMA
,,,,,,79.994,,,,,,,,,,
,,,catch area,,,541.55,,,,,,,,,,
,,,Elevation,,,,,,,,,,,,,
,,,basin,5949,1547,3748,,,,,,,,,,
,,,gl,5925,3422,4673.5,,,,,,,,,,
,,,AWS,,,3126.5,assume,,,,,,,,,
