,HBV_temp,HBV_prec,HBV_rain,HBV_snow,HBV_pe,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_refreezing,HBV_upper_gw,HBV_lower_gw,HBV_melt_off_glacier,Q_HBV,DDM_smb,pdd,DDM_temp,DDM_prec,DDM_rain,DDM_snow,DDM_accumulation_rate,DDM_ice_melt,DDM_snow_melt,DDM_total_melt,DDM_refreezing_ice,DDM_refreezing_snow,DDM_glacier_reservoir,Q_DDM,water_year,DDM_prec_updated_scaled,DDM_rain_updated_scaled,DDM_snow_updated_scaled,DDM_accumulation_rate_updated_scaled,DDM_ice_melt_updated_scaled,DDM_snow_melt_updated_scaled,DDM_total_melt_updated_scaled,DDM_refreezing_ice_updated_scaled,DDM_refreezing_snow_updated_scaled,DDM_glacier_reservoir_updated_scaled,Q_DDM_updated_scaled,Qobs,Q_Total,Prec_total,Melt_total
2016-01-01,8.056,0.0,0.0,0.0,2.591,0.0,69.102,0.0,0,0.0,0.0,0.0,0.0,-7.597,2.558,2.558,0.0,0.0,0.0,0.0,7.674,0.0,7.674,0.077,0.0,7.597,7.597,2016,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.01,0.0,0.99,0.99,0.868,0.99,0.0,1.0
2016-01-02,8.687,0.0,0.0,0.0,2.741,0.0,68.019,1.082,0,0.0,0.0,0.0,0.0,-9.472,3.189,3.189,0.0,0.0,0.0,0.0,9.568,0.0,9.568,0.096,0.0,9.472,9.472,2016,0.0,0.0,0.0,0.0,1.246,0.0,1.246,0.012,0.0,1.234,1.234,0.748,1.234,0.0,1.246
2016-01-03,6.77,0.0,0.0,0.0,2.066,0.0,67.216,0.803,0,0.0,0.0,0.0,0.0,-3.778,1.272,1.272,0.0,0.0,0.0,0.0,3.816,0.0,3.816,0.038,0.0,3.778,3.778,2016,0.0,0.0,0.0,0.0,0.497,0.0,0.497,0.005,0.0,0.492,0.492,0.649,0.492,0.0,0.497
2016-01-04,4.914,0.066,0.066,0.0,1.486,0.0,66.694,0.571,0,0.0,0.017,0.0,0.0,0.046,0.0,-0.585,0.046,0.0,0.046,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.006,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.072,0.0
2016-01-05,6.214,0.58,0.58,0.0,1.87,0.0,66.402,0.717,0,0.0,0.165,0.0,0.001,-1.52,0.716,0.716,0.468,0.208,0.261,0.261,1.535,0.307,1.842,0.015,0.046,1.989,1.989,2016,0.061,0.027,0.034,0.034,0.2,0.04,0.24,0.002,0.006,0.259,0.259,0.333,0.26,0.641,0.24
2016-01-06,6.416,0.002,0.002,0.0,1.966,0.0,65.657,0.746,0,0.0,0.159,0.0,0.002,-2.724,0.918,0.918,0.001,0.001,0.001,0.001,2.752,0.001,2.752,0.028,0.0,2.725,2.725,2016,0.0,0.0,0.0,0.0,0.358,0.0,0.359,0.004,0.0,0.355,0.355,0.286,0.357,0.002,0.359
2016-01-07,5.39,0.07,0.07,0.0,1.595,0.0,65.11,0.599,0,0.0,0.17,0.0,0.005,0.049,0.0,-0.108,0.049,0.0,0.049,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.006,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.005,0.077,0.0
2016-01-08,4.687,0.0,0.0,0.0,1.772,0.0,64.45,0.659,0,0.0,0.163,0.0,0.007,0.0,0.0,-0.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0.007,0.0,0.0
2016-01-09,6.972,0.0,0.0,0.0,2.418,0.0,63.56,0.891,0,0.0,0.157,0.0,0.008,-4.322,1.474,1.474,0.0,0.0,0.0,0.0,4.323,0.049,4.372,0.043,0.007,4.322,4.322,2016,0.0,0.0,0.0,0.0,0.563,0.006,0.57,0.006,0.001,0.563,0.563,0.281,0.571,0.0,0.57
2016-01-10,7.81,0.0,0.0,0.0,2.611,0.0,62.612,0.948,0,0.0,0.151,0.0,0.007,-6.867,2.312,2.312,0.0,0.0,0.0,0.0,6.936,0.0,6.936,0.069,0.0,6.867,6.867,2016,0.0,0.0,0.0,0.0,0.904,0.0,0.904,0.009,0.0,0.895,0.895,0.276,0.902,0.0,0.904
