Date,Qobs
1/1/2015,1.39
1/2/2015,2.53
1/3/2015,3.8
1/4/2015,2.29
1/5/2015,4.39
1/6/2015,3.86
1/7/2015,2.67
1/8/2015,2.8
1/9/2015,2.23
1/10/2015,2.64
1/11/2015,3.43
1/12/2015,3.74
1/13/2015,3.24
1/14/2015,3.7
1/15/2015,6.38
1/16/2015,4.49
1/17/2015,5.53
1/18/2015,6.27
1/19/2015,6.3
1/20/2015,6.46
1/21/2015,6.16
1/22/2015,6.97
1/23/2015,6.87
1/24/2015,5.83
1/25/2015,7.17
1/26/2015,8.38
1/27/2015,11
1/28/2015,7.88
1/29/2015,7.41
1/30/2015,10.5
1/31/2015,10.8
2/1/2015,8.03
2/2/2015,5.71
2/3/2015,6.4
2/4/2015,7.2
2/5/2015,7.58
2/6/2015,6.58
2/7/2015,6.13
2/8/2015,6.38
2/9/2015,3.73
2/10/2015,2
2/11/2015,1.54
2/12/2015,4.23
2/13/2015,5.22
2/14/2015,6.07
2/15/2015,5.78
2/16/2015,7.9
2/17/2015,7.02
2/18/2015,1.73
2/19/2015,1.09
2/20/2015,0.869
2/21/2015,0.679
2/22/2015,0.867
2/23/2015,1.62
2/24/2015,1.28
2/25/2015,1.59
2/26/2015,2.15
2/27/2015,3
2/28/2015,1.17
3/1/2015,0.733
3/2/2015,1.09
3/3/2015,0.627
3/4/2015,0.95
3/5/2015,1.01
3/6/2015,1.43
3/7/2015,2.56
3/8/2015,4.52
3/9/2015,4.77
3/10/2015,6.45
3/11/2015,5.7
3/12/2015,5.64
3/13/2015,4.14
3/14/2015,3.51
3/15/2015,3.03
3/16/2015,3.02
3/17/2015,2.79
3/18/2015,5
3/19/2015,2.91
3/20/2015,3.02
3/21/2015,1.95
3/22/2015,1.09
3/23/2015,0.725
3/24/2015,1
3/25/2015,0.507
3/26/2015,0.57
3/27/2015,0.479
3/28/2015,0.474
3/29/2015,0.548
3/30/2015,0.522
3/31/2015,0.484
4/1/2015,0.618
4/2/2015,0.608
4/3/2015,0.62
4/4/2015,0.611
4/5/2015,0.613
4/6/2015,0.652
4/7/2015,0.691
4/8/2015,0.613
4/9/2015,0.62
4/10/2015,0.618
4/11/2015,0.618
4/12/2015,0.614
4/13/2015,0.618
4/14/2015,0.618
4/15/2015,0.616
4/16/2015,0.61
4/17/2015,0.605
4/18/2015,0.603
4/19/2015,0.586
4/20/2015,0.592
4/21/2015,0.598
4/22/2015,0.58
4/23/2015,0.581
4/24/2015,0.594
4/25/2015,0.602
4/26/2015,0.577
4/27/2015,0.596
4/28/2015,0.592
4/29/2015,0.589
4/30/2015,0.595
5/1/2015,0.665
5/2/2015,0.64
5/3/2015,0.627
5/4/2015,0.602
5/5/2015,0.587
5/6/2015,0.583
5/7/2015,0.578
5/8/2015,0.587
5/9/2015,0.582
5/10/2015,0.576
5/11/2015,0.574
5/12/2015,0.576
5/13/2015,0.573
5/14/2015,0.574
5/15/2015,0.574
5/16/2015,0.574
5/17/2015,0.574
5/18/2015,0.576
5/19/2015,0.578
5/20/2015,0.578
5/21/2015,0.585
5/22/2015,0.578
5/23/2015,0.577
5/24/2015,0.613
5/25/2015,0.63
5/26/2015,0.589
5/27/2015,0.589
5/28/2015,0.574
5/29/2015,0.583
5/30/2015,0.612
5/31/2015,0.598
6/1/2015,0.666
6/2/2015,0.601
6/3/2015,0.594
6/4/2015,0.626
6/5/2015,0.579
6/6/2015,0.583
6/7/2015,0.611
6/8/2015,0.603
6/9/2015,0.428
6/10/2015,0.428
6/11/2015,0.428
6/12/2015,0.421
6/13/2015,0.427
6/14/2015,0.417
6/15/2015,0.435
6/16/2015,0.393
6/17/2015,0.394
6/18/2015,0.403
6/19/2015,0.403
6/20/2015,0.437
6/21/2015,0.414
6/22/2015,0.41
6/23/2015,0.4
6/24/2015,0.401
6/25/2015,0.396
6/26/2015,0.388
6/27/2015,0.416
6/28/2015,0.402
6/29/2015,0.386
6/30/2015,0.455
7/1/2015,0.394
7/2/2015,0.391
7/3/2015,0.394
7/4/2015,0.393
7/5/2015,0.399
7/6/2015,0.427
7/7/2015,0.44
7/8/2015,0.392
7/9/2015,0.416
7/10/2015,0.447
7/11/2015,0.536
7/12/2015,0.785
7/13/2015,0.583
7/14/2015,0.475
7/15/2015,0.465
7/16/2015,0.443
7/17/2015,0.451
7/18/2015,0.445
7/19/2015,0.432
7/20/2015,0.442
7/21/2015,0.454
7/22/2015,0.428
7/23/2015,0.446
7/24/2015,0.464
7/25/2015,0.435
7/26/2015,0.444
7/27/2015,0.446
7/28/2015,0.43
7/29/2015,0.432
7/30/2015,0.453
7/31/2015,0.516
8/1/2015,0.436
8/2/2015,0.567
8/3/2015,0.489
8/4/2015,0.489
8/5/2015,0.63
8/6/2015,2.46
8/7/2015,2.34
8/8/2015,0.84
8/9/2015,0.75
8/10/2015,0.69
8/11/2015,0.615
8/12/2015,0.656
8/13/2015,0.641
8/14/2015,0.632
8/15/2015,0.627
8/16/2015,0.659
8/17/2015,0.64
8/18/2015,0.628
8/19/2015,0.646
8/20/2015,0.68
8/21/2015,0.686
8/22/2015,0.669
8/23/2015,0.685
8/24/2015,0.781
8/25/2015,0.727
8/26/2015,0.704
8/27/2015,0.708
8/28/2015,0.724
8/29/2015,0.761
8/30/2015,0.859
8/31/2015,0.876
9/1/2015,0.896
9/2/2015,0.857
9/3/2015,0.987
9/4/2015,0.818
9/5/2015,0.814
9/6/2015,0.865
9/7/2015,0.924
9/8/2015,0.89
9/9/2015,0.854
9/10/2015,0.828
9/11/2015,0.798
9/12/2015,0.797
9/13/2015,0.814
9/14/2015,0.83
9/15/2015,0.859
9/16/2015,0.761
9/17/2015,0.792
9/18/2015,0.768
9/19/2015,0.827
9/20/2015,0.778
9/21/2015,0.876
9/22/2015,0.873
9/23/2015,0.939
9/24/2015,1.04
9/25/2015,1.08
9/26/2015,2.14
9/27/2015,2.73
9/28/2015,1.14
9/29/2015,0.948
9/30/2015,1.08
10/1/2015,1.14
10/2/2015,1.04
10/3/2015,1.07
10/4/2015,1.04
10/5/2015,0.994
10/6/2015,0.994
10/7/2015,0.976
10/8/2015,0.948
10/9/2015,0.959
10/10/2015,0.982
10/11/2015,1.08
10/12/2015,1.04
10/13/2015,1.03
10/14/2015,1.02
10/15/2015,1.03
10/16/2015,0.994
10/17/2015,1.02
10/18/2015,1.05
10/19/2015,1.25
10/20/2015,1.14
10/21/2015,1.13
10/22/2015,1.17
10/23/2015,1.32
10/24/2015,1.31
