,HBV_temp,HBV_prec,HBV_rain,HBV_snow,HBV_pe,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_refreezing,HBV_upper_gw,HBV_lower_gw,HBV_melt_off_glacier,Q_HBV,DDM_smb,pdd,DDM_temp,DDM_prec,DDM_rain,DDM_snow,DDM_accumulation_rate,DDM_ice_melt,DDM_snow_melt,DDM_total_melt,DDM_refreezing_ice,DDM_refreezing_snow,DDM_glacier_reservoir,Q_DDM,water_year,DDM_prec_updated_scaled,DDM_rain_updated_scaled,DDM_snow_updated_scaled,DDM_accumulation_rate_updated_scaled,DDM_ice_melt_updated_scaled,DDM_snow_melt_updated_scaled,DDM_total_melt_updated_scaled,DDM_refreezing_ice_updated_scaled,DDM_refreezing_snow_updated_scaled,DDM_glacier_reservoir_updated_scaled,Q_DDM_updated_scaled,Qobs,Q_Total,Prec_total,Melt_total
2016-01-01,6.923,0.259,0.259,0.0,4.161,27.873,133.895,0.0,0,0.0,0.0,0.0,0.0,-1.764,1.425,1.425,0.237,0.185,0.052,0.052,0.0,2.137,2.137,0.0,0.321,2.05,1.926,2016,0.031,0.024,0.007,0.007,0.0,0.278,0.278,0.0,0.042,0.267,0.251,1.244,0.251,0.29,0.279
2016-01-02,6.285,0.126,0.126,0.0,4.118,18.445,134.24,3.235,0,2.485,1.44,9.428,0.013,-0.951,0.787,0.787,0.103,0.049,0.053,0.053,0.0,1.181,1.181,0.0,0.177,1.177,1.107,2016,0.013,0.006,0.007,0.007,0.0,0.154,0.154,0.0,0.023,0.153,0.144,1.179,0.157,0.139,9.582
2016-01-03,5.908,0.148,0.148,0.0,3.764,9.584,135.836,2.986,0,5.952,2.822,10.706,0.081,-0.44,0.409,0.409,0.113,0.03,0.082,0.082,0.0,0.614,0.614,0.0,0.092,0.623,0.586,2016,0.015,0.004,0.011,0.011,0.0,0.08,0.08,0.0,0.012,0.081,0.076,1.046,0.158,0.163,10.786
2016-01-04,4.937,1.376,1.376,0.0,3.061,2.178,137.732,2.452,0,9.096,4.15,8.364,0.244,0.963,0.0,-0.561,0.963,0.0,0.963,0.963,0.0,0.0,0.0,0.0,0.0,0.037,0.035,2016,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.949,0.249,1.501,8.364
2016-01-05,4.848,1.13,1.13,0.0,3.134,0.0,136.821,2.495,0,9.014,5.424,2.396,0.474,0.791,0.0,-0.65,0.791,0.0,0.791,0.791,0.0,0.0,0.0,0.0,0.0,0.002,0.002,2016,0.103,0.0,0.103,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886,0.474,1.233,2.396
2016-01-06,6.617,2.619,2.619,0.0,3.386,0.0,135.336,2.67,0,8.455,6.647,0.0,0.681,-0.619,1.119,1.119,2.272,1.465,0.808,0.808,0.0,1.678,1.678,0.0,0.252,2.891,2.718,2016,0.296,0.191,0.105,0.105,0.0,0.219,0.219,0.0,0.033,0.377,0.354,0.842,1.035,2.915,0.219
2016-01-07,4.557,2.501,2.501,0.0,3.058,0.0,134.098,2.385,0,7.852,7.821,0.0,0.794,1.751,0.0,-0.941,1.751,0.0,1.751,1.751,0.0,0.0,0.0,0.0,0.0,0.174,0.163,2016,0.228,0.0,0.228,0.228,0.0,0.0,0.0,0.0,0.0,0.023,0.021,0.825,0.815,2.729,0.0
2016-01-08,4.076,0.647,0.647,0.0,2.875,0.0,132.19,2.208,0,6.33,8.948,0.0,0.812,0.453,0.0,-1.422,0.453,0.0,0.453,0.453,0.0,0.0,0.0,0.0,0.0,0.011,0.01,2016,0.059,0.0,0.059,0.059,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.798,0.814,0.706,0.0
2016-01-09,4.851,0.24,0.24,0.0,3.496,0.0,129.66,2.643,0,4.684,10.03,0.0,0.78,0.168,0.0,-0.647,0.168,0.0,0.168,0.168,0.0,0.0,0.0,0.0,0.0,0.001,0.001,2016,0.022,0.0,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.752,0.78,0.262,0.0
2016-01-10,4.941,0.157,0.157,0.0,4.004,0.0,126.767,2.968,0,3.086,11.069,0.0,0.729,0.11,0.0,-0.557,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.014,0.0,0.014,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.729,0.171,0.0
