Area,Elevation,Area1,Elevation1,Area2,Elevation2,Area3,Elevation3,Area4,Elevation4,Area5,Elevation5
7500,1300,1875,3430,1875,2960,1875,3240,2500,2530,27500,2920
24375,1350,625,3440,8125,2970,4375,3250,2500,2540,56875,2930
41875,1400,625,3450,27500,2980,8750,3260,3125,2550,51875,2940
47500,1450,625,3460,26875,2990,25625,3270,1875,2560,68125,2950
48750,1500,1875,3470,18750,3000,31875,3280,5625,2570,65625,2960
44375,1550,1875,3480,14375,3010,45000,3290,3750,2580,61250,2970
43125,1600,625,3490,23750,3020,52500,3300,6250,2590,63125,2980
54375,1650,625,3500,35625,3030,58750,3310,5000,2600,85625,2990
314375,1700,625,3510,40000,3040,63750,3320,8125,2610,65000,3000
598750,1750,2500,3520,36250,3050,67500,3330,8750,2620,83125,3010
853125,1800,1250,3530,50000,3060,51875,3340,5625,2630,107500,3020
1078125,1850,2500,3540,48125,3070,51250,3350,8125,2640,106250,3030
1403125,1900,625,3550,61875,3080,51250,3360,9375,2650,97500,3040
1588125,1950,3750,3560,49375,3090,70000,3370,8125,2660,86875,3050
1768750,2000,3125,3570,21250,3100,94375,3380,11250,2670,100000,3060
2194375,2050,6250,3580,22500,3110,86875,3390,8750,2680,90625,3070
2528750,2100,59375,3590,16250,3120,100625,3400,9375,2690,90625,3080
2618125,2150,29375,3600,14375,3130,100625,3410,8750,2700,106875,3090
3756250,2200,21875,3610,11250,3140,113125,3420,8750,2710,107500,3100
3820000,2250,24375,3620,10625,3150,131875,3430,11250,2720,134375,3110
3630000,2300,23750,3630,11875,3160,145000,3440,6875,2730,148750,3120
4673125,2350,24375,3640,10000,3170,173125,3450,10000,2740,171875,3130
5250000,2400,24375,3650,13750,3180,133125,3460,10625,2750,153750,3140
6657500,2450,30625,3660,13750,3190,146250,3470,8125,2760,125625,3150
7571250,2500,37500,3670,15625,3200,162500,3480,9375,2770,120625,3160
7620625,2550,45625,3680,13750,3210,137500,3490,6875,2780,148125,3170
8181875,2600,58750,3690,17500,3220,104375,3500,7500,2790,150000,3180
8131250,2650,56875,3700,22500,3230,86875,3510,11250,2800,196875,3190
