Date,Qobs,Qmhm,Qmhm_mat,Melt_total
1/1/2009,250,294.6956169,62.1384173,0.915
1/2/2009,230,280.8675344,62.5740489,1.731
1/3/2009,233,274.9026377,58.9764269,2.485
1/4/2009,235,282.2411332,55.7819278,2.177
1/5/2009,236,285.4597392,52.9336599,1.243
1/6/2009,207,273.5483973,50.3855373,0.014
1/7/2009,193,255.8159049,48.1013903,0.101
1/8/2009,187,240.7603228,46.0364903,0.47
1/9/2009,184,232.7820894,44.1631002,1.213
1/10/2009,192,231.7096548,42.4574376,1.936
1/11/2009,200,233.4629494,40.9007855,1.273
1/12/2009,199,233.904073,39.4779815,1.033
1/13/2009,200,231.7947358,38.1680519,2.109
1/14/2009,207,234.2740025,36.9603389,1.393
1/15/2009,211,238.8451596,35.844002,1.724
1/16/2009,216,244.5399261,34.8070187,2.489
1/17/2009,219,243.8882488,33.8451744,1.044
1/18/2009,187,236.7542442,32.9473628,0.692
1/19/2009,176,228.294521,32.1025708,1.721
1/20/2009,188,229.4412483,31.3150829,1.772
1/21/2009,187,235.2913306,30.5916063,1.664
1/22/2009,185,242.5666661,29.9381583,1.283
1/23/2009,182,247.6582713,29.3309727,1.246
1/24/2009,180,242.3634024,28.7277012,0.757
1/25/2009,176,229.7579149,28.1184307,2.01
1/26/2009,177,220.6597709,27.5260324,1.651
1/27/2009,175,215.7747806,26.9623964,2.35
1/28/2009,176,211.0606294,26.4257968,3.171
1/29/2009,182,205.1514172,25.9132547,2.586
1/30/2009,182,198.6259292,25.4212387,2.082
1/31/2009,180,186.5164104,24.9506925,1.622
2/1/2009,168,171.8263802,24.4983927,1.065
2/2/2009,160,157.1390619,24.0592299,0.172
2/3/2009,150,144.9405209,23.6370748,0.883
2/4/2009,152,136.4976773,23.2327351,0.96
2/5/2009,149,130.8005457,22.8449784,0.568
2/6/2009,148,125.8852657,22.46933,1.982
2/7/2009,149,122.8403875,22.1030532,0.593
2/8/2009,146,119.7359738,21.7481329,1.247
2/9/2009,147,119.9294235,21.4415707,0.512
2/10/2009,143,121.3253662,21.156521,0.195
2/11/2009,141,118.7509116,20.8306238,1.882
2/12/2009,152,117.9853214,20.5143601,2.056
2/13/2009,154,118.9627749,20.2078083,1.588
2/14/2009,155,120.9835006,19.918452,1.753
2/15/2009,154,123.9538531,19.6621089,0.239
2/16/2009,145,122.3421928,19.4063714,0.483
2/17/2009,148,119.9466692,19.130827,2.04
2/18/2009,153,122.2756703,18.8804282,1.132
2/19/2009,149,122.7062146,18.6487635,0.601
2/20/2009,141,119.1275208,18.4199363,0.475
2/21/2009,136,117.6966031,18.2882826,0
2/22/2009,125,115.4208606,18.1757062,1.141
2/23/2009,129,107.7971281,17.9144822,1.428
2/24/2009,135,106.1446628,17.6687437,1.091
2/25/2009,135,107.5330655,17.4393421,1.423
2/26/2009,137,110.0862149,17.2284816,1.296
2/27/2009,132,112.9559539,17.0606098,1.069
2/28/2009,129,114.6756507,16.964621,0
3/1/2009,123,112.8076549,16.8341206,0.055
3/2/2009,118,106.5977003,16.5946817,1.041
3/3/2009,118,104.3401224,16.4910824,0
3/4/2009,112,103.4067633,16.4448176,1.219
3/5/2009,112,100.4877122,16.2347228,1.639
3/6/2009,113,99.56827988,16.0069342,1.363
3/7/2009,113,98.02865016,15.7897859,1.806
3/8/2009,113,99.16953972,15.6620289,1.089
3/9/2009,114,102.7108321,15.5576872,1.408
3/10/2009,117,103.6509822,15.3746405,1.224
3/11/2009,118,104.5887074,15.1996401,1.201
3/12/2009,117,103.9514558,15.0003832,1.558
3/13/2009,113,104.5436051,14.8136314,2.212
3/14/2009,112,106.5434169,14.6367471,2.026
3/15/2009,109,108.7532843,14.4688068,2.722
3/16/2009,110,109.4423931,14.3000436,0.507
3/17/2009,106,106.5686451,14.135971,2.226
3/18/2009,108,105.6979021,13.9856717,2.066
3/19/2009,108,105.2302837,13.8350432,1.713
3/20/2009,108,105.4521577,13.6878346,1.83
3/21/2009,107,106.477908,13.544786,1.649
3/22/2009,105,106.0097328,13.4022704,0.939
3/23/2009,102,103.1670714,13.2664028,0.843
3/24/2009,100,101.2473338,13.1541785,0.461
3/25/2009,98.7,101.0652858,13.0621359,0.474
3/26/2009,98.7,101.1615876,12.9621598,0.643
3/27/2009,96.2,98.35635695,12.8384685,0.713
3/28/2009,94,94.193338,12.706042,1.304
3/29/2009,95.6,91.70019339,12.5786862,0.831
3/30/2009,93.2,89.12277913,12.4537561,0.989
3/31/2009,92.8,87.08199192,12.3363201,1.841
4/1/2009,93.3,87.31498508,12.2373558,0.765
4/2/2009,89.7,87.01937658,12.1504756,0
4/3/2009,84.9,82.87704608,12.0543325,0
4/4/2009,81.7,78.1089022,11.9463786,0
4/5/2009,78.4,74.4441737,11.8349313,1.094
4/6/2009,79.4,73.33081669,11.7297892,1.842
4/7/2009,83,75.29533475,11.6299467,1.797
4/8/2009,83.5,78.11278788,11.5323862,1.844
4/9/2009,85.1,80.87376304,11.4379023,2.022
4/10/2009,85.8,83.72334722,11.346629,2.121
4/11/2009,87.7,86.38361697,11.2549502,1.398
4/12/2009,86.7,87.13544731,11.1602774,0.967
4/13/2009,85.7,86.06450109,11.0680516,1.575
4/14/2009,84.6,86.4854468,10.9855252,2.786
4/15/2009,82.8,89.45423654,10.907344,2.144
4/16/2009,85.4,91.13346938,10.8267564,1.984
4/17/2009,84,90.16476918,10.742778,1.062
4/18/2009,78.7,87.10443831,10.660735,2.134
4/19/2009,78.1,85.30257778,10.5825101,1.472
4/20/2009,80.8,84.83303549,10.5013214,1.222
4/21/2009,79.7,82.86198935,10.4200058,1.109
4/22/2009,78.5,80.52438437,10.3393425,1.003
4/23/2009,77.9,77.86837328,10.2575395,0.468
4/24/2009,71.3,74.26983516,10.1738566,0.167
4/25/2009,71.5,71.49005295,10.0918326,0.374
4/26/2009,73,69.11166741,10.0160869,1.21
4/27/2009,69.3,68.69934965,9.9452992,1.181
4/28/2009,66.5,68.32550544,9.8740153,0.795
4/29/2009,65.7,66.94490701,9.8022549,0.794
4/30/2009,64.4,65.41112397,9.73531,1.727
5/1/2009,59.7,63.99728288,9.6694392,0.739
5/2/2009,58.6,63.61265884,9.6037462,1.642
5/3/2009,57.5,64.03148232,9.53937,0.675
5/4/2009,57,62.93086372,9.4954095,0
5/5/2009,58.1,60.33507909,9.4591024,0.628
5/6/2009,55.9,58.79708384,9.3900731,0
5/7/2009,53,57.34149194,9.3167275,0
5/8/2009,52.1,56.05968633,9.2460148,0
5/9/2009,52.2,54.93589265,9.1764222,0
5/10/2009,52.8,54.05561905,9.1104525,0
5/11/2009,53.3,53.41067092,9.0628033,0
5/12/2009,55.8,52.78719059,9.0762913,0
5/13/2009,129,55.76870344,9.8358962,0.087
5/14/2009,69.6,62.22853201,11.0523309,0
5/15/2009,66.8,60.3969038,10.8079543,0
5/16/2009,62.5,58.80307578,10.5903704,0
5/17/2009,55.7,57.71535607,10.5682902,0
5/18/2009,55,57.00535584,10.6368443,0
5/19/2009,58.5,56.09252322,10.4970181,0
5/20/2009,59.6,55.41033073,10.357505,0
5/21/2009,60,54.48591027,10.2150678,0
5/22/2009,60.6,53.85733168,10.1364003,0
5/23/2009,63,53.27659463,10.0040614,0
5/24/2009,58.1,52.34948885,9.7836164,0
5/25/2009,56.5,52.04264537,9.9010165,0
5/26/2009,61.9,52.13562039,10.1688807,0
5/27/2009,65.5,51.36490274,9.94771,0
5/28/2009,57,50.65046324,9.723697,0
5/29/2009,55.1,50.04309712,9.5546864,0
5/30/2009,55.7,49.50564433,9.4455067,0
5/31/2009,60.6,48.9993935,9.3208813,0
6/1/2009,61.9,48.50430433,9.151961,0.129
6/2/2009,60.8,48.15049683,9.0501477,0
6/3/2009,57.1,47.899655,8.9993025,0
6/4/2009,55.5,47.54747496,8.8898829,0
6/5/2009,54.7,47.15158359,8.7534277,0
6/6/2009,54.6,46.85104198,8.6673413,0
6/7/2009,54.4,46.6364002,8.6187985,0
6/8/2009,54.1,46.33097794,8.5183593,0
6/9/2009,54.1,46.01118021,8.4079293,0
6/10/2009,54.4,45.71130356,8.3059385,0
6/11/2009,51.9,45.42921926,8.2114736,0
6/12/2009,54.7,45.18834089,8.1387883,0
6/13/2009,54.8,45.05469783,8.1238806,0
6/14/2009,54.4,44.98242188,8.1538974,0
